coder,id,scale,cope.m,en.m,social.m,conf.m,cope.sd,en.sd,social.sd,conf.sd,cope.a,en.a,social.a,conf.a,,,,,,,,,,,
Aaron,Neighbors2004,1-5,1.9,2.76,3,1.5,0.9,1.27,1.2,0.67,0.84,0.93,0.91,0.83,,,,,,,,,,,
Aaron,Neighbors2007,1-5,2.04,3.31,3.47,1.8,0.9,0.96,0.94,0.86,0.82,0.84,0.85,0.84,,,,,,,,,,,
Aaron,Nemeth2010.f,1-3,1.3,1.03,2,1.14,0.42,0.28,0.55,0.29,0.82,0.65,0.8,0.76,,,,,,,,,,,
Aaron,Nemeth2010.m,1-3,1.32,1.1,2.18,1.26,0.42,0.27,0.54,0.43,0.82,0.65,0.8,0.76,,,,,,,,,,,
Aaron,Nemeth2011.1,1-3,1.45,1.88,2.4,1.29,0.65,0.97,1.14,0.58,NA,NA,NA,NA,,,,,,,,,,,
Aaron,Nemeth2011.2,1-3,1.7,2.03,2.87,1.34,0.83,0.89,1.14,0.55,NA,NA,NA,NA,,,,,,,,,,,
Aaron,Ostafin2011,1-5,1.73,2.81,NA,NA,0.75,1.04,NA,NA,0.82,0.88,NA,NA,,,,,,,,,,,
Aaron,Palfai2011,1-5,NA,NA,NA,NA,NA,NA,NA,NA,0.79,0.87,0.87,0.79,,,,,,,,,,,
Aaron,Patrick2011,1-5,NA,NA,NA,NA,NA,NA,NA,NA,0.86,0.91,0.94,0.87,,,,,,,,,,,
Aaron,Pedersen2012,1-5,1.48,2.41,2.81,1.37,0.61,1.09,1.17,0.58,0.76,0.89,0.91,0.84,,,,,,,,,,,
Aaron,Peirce1994,1-4,1.38,NA,NA,NA,0.48,NA,NA,NA,0.81,NA,NA,NA,,,,,,,,,,,
Aaron,Ralston2012,1-5,1.794,NA,NA,NA,0.688,NA,NA,NA,0.78,NA,NA,NA,,,,,,,,,,,
Aaron,Read2003,1-5,NA,NA,NA,NA,NA,NA,NA,NA,0.88,0.92,0.92,NA,,,,,,,,,,,
Aaron,Read2007,1-5,NA,NA,NA,NA,NA,NA,NA,NA,0.77,0.81,0.85,0.84,,,,,,,,,,,
Aaron,Reardon2002,0-4,0.84,1.85,1.9,NA,0.15,0.836,0.9,NA,NA,NA,NA,NA,,,,,,,,,,,
Aaron,Salemink2013,1-5,2.1,3.2,NA,NA,0.9,0.9,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
Aaron,Settles2010,1-5,1.84,NA,NA,NA,0.88,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
Aaron,Shaver2013,1-5,NA,NA,NA,NA,NA,NA,NA,NA,0.83,NA,NA,NA,,,,,,,,,,,
Aaron,Simons2000,1-5,2.18,4.07,3.05,1.19,1.1,0.8,0.99,0.35,NA,NA,NA,NA,,,,,,,,,,,
Aaron,Siviroj2012,1-5,1.58,1.58,1.92,1.5,0.82,0.82,1.08,0.7,NA,NA,NA,NA,,,,,,,,,,,
Aaron,Stewart1996.f,1-4,1.5,1.77,2.03,NA,0.59,0.63,0.56,NA,NA,NA,NA,NA,,,,,,,,,,,
